Altium Designer Pick and Place Locations
C:\Users\mattz\AppData\Local\TempReleases\Snapshot\1\Assembly ES-10003\ES-10003-PPL-REVC.txt

========================================================================================================================
File Design Information:

Date:       19/08/24
Time:       12:02
Revision:   Not in VersionControl
Variant:    ES-10003
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation 
J11        TopLayer    33.0085      16.1413      0        
C254       BottomLayer 162.1790     78.3590      270      
C253       BottomLayer 160.4010     75.9460      90       
U41        BottomLayer 161.7555     23.2410      0        
C252       BottomLayer 163.3220     37.3380      0        
C251       BottomLayer 168.2750     35.9410      180      
C250       BottomLayer 163.3220     34.4170      0        
C249       BottomLayer 168.2750     33.0200      180      
C248       BottomLayer 163.3220     31.4960      0        
C241       BottomLayer 28.3687      36.8300      0        
C240       BottomLayer 31.4960      37.9166      180      
C239       BottomLayer 31.0350      30.0908      0        
C238       BottomLayer 28.9621      30.2060      0        
C237       BottomLayer 161.9250     20.8280      0        
C236       BottomLayer 49.0220      49.2760      0        
R255       TopLayer    103.8521     76.1175      180      
R254       TopLayer    95.0000      76.1175      180      
C233       BottomLayer 69.7525      86.4567      0        
C232       BottomLayer 69.7525      85.4407      180      
C231       BottomLayer 25.4560      66.9290      270      
C230       BottomLayer 24.4401      66.9520      90       
C229       BottomLayer 19.2399      67.3662      180      
C228       BottomLayer 19.2399      68.3820      0        
C227       TopLayer    147.1539     62.4250      270      
C226       TopLayer    146.2919     62.4100      90       
C225       BottomLayer 154.3972     45.2000      0        
C224       BottomLayer 154.3972     46.2160      180      
C223       BottomLayer 70.9370      48.7070      180      
C222       BottomLayer 70.9370      50.4850      0        
C221       BottomLayer 118.9284     30.4801      180      
C220       BottomLayer 118.9134     31.4960      0        
C219       BottomLayer 100.8690     30.1127      180      
C218       BottomLayer 100.8690     31.1286      0        
C217       TopLayer    94.0762      29.9720      180      
C216       TopLayer    94.0993      30.9880      0        
C215       TopLayer    119.2617     62.7075      0        
C214       TopLayer    124.0000     63.1500      270      
C213       BottomLayer 97.8500      83.0580      180      
C212       BottomLayer 97.8500      84.3280      0        
C211       BottomLayer 160.5500     64.4348      0        
C210       BottomLayer 160.5350     63.4189      180      
C209       BottomLayer 167.3380     67.3100      180      
C208       BottomLayer 167.3380     68.3259      0        
C207       BottomLayer 162.9640     83.5662      180      
C206       BottomLayer 162.9640     84.5820      0        
C205       TopLayer    13.8620      30.2490      90       
C204       TopLayer    14.8780      30.2410      270      
C203       BottomLayer 36.3220      17.1707      180      
C202       BottomLayer 36.3220      18.2880      0        
C201       TopLayer    58.4877      15.6527      0        
C200       TopLayer    58.5027      16.5600      180      
C199       TopLayer    89.1280      17.3850      270      
C198       TopLayer    88.1882      17.4000      90       
C197       BottomLayer 43.9960      20.7740      270      
C196       BottomLayer 42.9800      20.7590      90       
C195       BottomLayer 143.5209     69.7500      90       
C194       BottomLayer 151.2106     69.5291      180      
C193       TopLayer    39.1395      35.6190      180      
C192       TopLayer    39.1395      34.6570      180      
C191       BottomLayer 153.0785     63.9690      270      
C190       BottomLayer 150.7337     65.6865      180      
C189       BottomLayer 154.8565     63.9690      270      
C41        TopLayer    159.3600     44.3990      0        
C183       TopLayer    59.1000      38.0750      180      
D14        BottomLayer 50.1731      16.3000      270      
D25        TopLayer    32.3685      19.5000      0        
D26        TopLayer    45.3690      19.2460      0        
J12        TopLayer    45.1000      16.1413      0        
Q13        TopLayer    47.9000      21.2000      90       
R88        TopLayer    31.4750      20.8830      270      
R89        TopLayer    61.2731      39.6550      90       
R90        BottomLayer 58.9250      40.7500      0        
U12        TopLayer    57.0000      41.0000      90       
R253       BottomLayer 152.9000     23.5211      180      
R252       BottomLayer 154.7000     23.5211      180      
R251       BottomLayer 42.5429      54.7010      90       
R249       BottomLayer 44.5750      54.7010      90       
R247       BottomLayer 44.5749      56.5238      90       
R245       BottomLayer 150.6220     38.2518      0        
R244       TopLayer    55.8875      45.9421      90       
R243       TopLayer    59.9515      45.0381      90       
R241       BottomLayer 56.1340      35.5600      90       
Q39        TopLayer    53.8652      45.2231      0        
Q38        TopLayer    57.9195      44.8421      0        
L9         BottomLayer 141.4780     76.2000      90       
D28        BottomLayer 22.8500      26.5011      0        
D27        BottomLayer 20.5817      29.9720      0        
D24        TopLayer    70.1913      36.9050      0        
C187       BottomLayer 150.9600     79.5031      270      
C186       BottomLayer 148.9475     79.5031      270      
C185       BottomLayer 144.9100     79.5308      270      
C184       TopLayer    72.4773      36.4130      90       
TP85       TopLayer    53.4315      78.7185      90       
TP5        TopLayer    83.6750      63.2250      0        
TP4        TopLayer    81.0111      52.4850      0        
TP3        TopLayer    95.6318      71.3225      0        
C182       BottomLayer 152.0794     73.9220      90       
C181       BottomLayer 163.3220     26.9240      0        
C180       TopLayer    163.5909     37.6307      0        
U18        BottomLayer 48.5750      46.7785      90       
S1         TopLayer    75.7824      68.3832      90       
R174       BottomLayer 103.8750     52.8000      270      
R154       TopLayer    33.2000      27.8000      0        
R153       TopLayer    33.2000      28.7000      0        
R152       TopLayer    37.6000      21.7000      0        
R151       TopLayer    37.6000      22.7000      0        
R112       BottomLayer 149.9030     32.3880      180      
R100       TopLayer    166.0910     45.8720      90       
LBL2       TopLayer    0.0000       0.0000       0        
LBL1       TopLayer    0.0000       0.0000       0        
L4         BottomLayer 108.5741     54.1909      270      
L2         TopLayer    161.5190     47.7520      90       
L1         TopLayer    95.8388      62.1880      90       
J17        BottomLayer 110.2250     17.9646      180      
FB4        TopLayer    163.8300     78.7240      90       
FB3        TopLayer    144.5666     78.7504      0        
FB2        TopLayer    96.2568      68.7815      90       
D17        BottomLayer 20.7143      23.7800      0        
D23        BottomLayer 76.9620      81.2436      90       
C179       TopLayer    76.7111      78.9373      180      
C178       TopLayer    76.7154      77.3014      180      
C177       TopLayer    157.8500     79.6137      0        
C176       TopLayer    147.7758     79.4711      0        
C130       BottomLayer 111.4375     49.7020      180      
C129       BottomLayer 100.6500     54.2000      90       
C128       BottomLayer 100.6710     59.3094      270      
C42        BottomLayer 75.6232      59.0852      270      
C38        BottomLayer 88.9800      24.2395      180      
C4         TopLayer    89.0385      64.9940      0        
C3         TopLayer    102.5250     64.9940      180      
C2         TopLayer    69.0500      65.2000      180      
C1         TopLayer    95.5201      54.8409      90       
FB1        TopLayer    94.8068      68.7838      90       
U5         BottomLayer 132.5500     64.6500      180      
D7         BottomLayer 137.7500     68.8500      270      
R199       TopLayer    113.7445     52.1778      90       
R111       BottomLayer 148.3843     34.3374      90       
Q20        BottomLayer 150.4400     34.3273      0        
R16        TopLayer    84.3500      68.9250      270      
R240       BottomLayer 67.6000      75.2250      180      
R239       BottomLayer 67.1000      76.6750      270      
R238       TopLayer    67.3231      79.1750      180      
R237       TopLayer    66.2731      77.6500      90       
R99        TopLayer    91.7759      74.1740      0        
Q37        BottomLayer 68.9500      77.0250      270      
Q36        BottomLayer 65.7000      78.0500      0        
Q35        TopLayer    68.1481      77.2750      90       
Q34        TopLayer    64.8826      76.2765      0        
Q16        TopLayer    94.3250      74.4090      0        
F3         TopLayer    90.8460      25.9960      270      
R30        TopLayer    67.4583      31.7881      90       
R28        TopLayer    66.4583      31.7881      270      
R26        TopLayer    71.8333      31.7131      0        
Q7         TopLayer    69.4833      31.7131      0        
Q5         TopLayer    78.2343      30.6500      0        
U39        BottomLayer 138.4750     52.0250      90       
U38        BottomLayer 132.6500     51.5250      180      
U37        BottomLayer 53.9761      31.9420      90       
R230       BottomLayer 140.3750     53.0500      180      
R229       BottomLayer 138.5000     50.1750      90       
R228       TopLayer    132.8000     50.8750      90       
R226       BottomLayer 135.6250     49.8750      0        
R225       BottomLayer 133.1000     55.6250      270      
R224       BottomLayer 132.1000     55.6250      90       
R223       BottomLayer 134.1000     55.6250      270      
R222       BottomLayer 140.3750     52.0500      0        
R221       BottomLayer 138.7500     53.8750      90       
R218       BottomLayer 55.1180      38.1000      90       
R217       BottomLayer 53.0860      38.1000      90       
R216       BottomLayer 52.0700      38.1000      90       
R215       BottomLayer 58.3335      31.0420      90       
R214       BottomLayer 51.4828      29.0460      180      
R213       BottomLayer 51.4828      28.1460      180      
R212       BottomLayer 57.3251      31.9420      90       
R211       BottomLayer 58.3335      32.8420      90       
R210       TopLayer    73.8960      36.9130      180      
R209       BottomLayer 58.6500      54.4500      180      
R208       BottomLayer 56.4054      54.7240      270      
R207       BottomLayer 58.6500      55.4500      0        
R206       BottomLayer 58.6500      53.4500      180      
R205       BottomLayer 56.4054      52.9240      270      
R204       BottomLayer 58.6500      52.4500      0        
R203       BottomLayer 58.6500      50.4500      180      
R202       BottomLayer 56.4054      51.1240      90       
R201       BottomLayer 58.6500      51.4500      0        
R173       TopLayer    31.0750      41.0750      180      
R171       TopLayer    29.0250      41.1250      180      
R140       BottomLayer 130.6000     55.3750      90       
R139       BottomLayer 127.6750     54.6750      90       
R129       BottomLayer 129.2528     18.9718      90       
J2         TopLayer    88.6250      42.0000      90       
C174       BottomLayer 132.1250     48.5500      90       
C173       BottomLayer 137.6750     53.8250      90       
C172       BottomLayer 140.0500     50.5250      0        
C171       BottomLayer 133.9750     49.1500      0        
C170       BottomLayer 130.3466     51.1284      90       
C169       BottomLayer 129.4250     51.1250      90       
C168       BottomLayer 55.4228      29.0270      180      
C167       BottomLayer 54.7311      28.1328      0        
J5         BottomLayer 51.0700      83.3469      180      
J4         BottomLayer 58.8200      83.3469      180      
TP77       TopLayer    131.6500     53.9250      90       
TP76       TopLayer    129.1100     53.9250      90       
TP11       TopLayer    167.3860     22.2250      90       
TP10       TopLayer    26.4000      71.2250      90       
TP9        TopLayer    52.9500      75.7250      0        
TP8        TopLayer    49.9618      64.9732      0        
R130       BottomLayer 138.7250     14.6250      180      
MH8        TopLayer    146.4435     74.0700      0        
MH7        TopLayer    118.0833     74.1135      0        
MH6        TopLayer    164.0500     72.7000      0        
MH5        TopLayer    100.4500     72.7000      0        
U32        BottomLayer 155.4480     76.3000      180      
R45        TopLayer    143.0000     60.9000      90       
R189       BottomLayer 159.8930     70.2310      180      
R188       BottomLayer 158.4960     69.9770      270      
R186       BottomLayer 159.8074     72.3190      0        
R184       BottomLayer 159.8930     69.2150      180      
R183       BottomLayer 157.3480     72.6420      90       
R234       TopLayer    130.6250     73.8910      90       
R236       TopLayer    141.4250     75.9510      90       
R235       TopLayer    137.9250     75.9760      90       
R87        TopLayer    68.4499      27.4499      270      
Q33        TopLayer    139.7750     73.7760      0        
Q32        TopLayer    136.3000     73.9760      0        
Q31        TopLayer    132.6750     73.8660      0        
L6         BottomLayer 155.8500     82.6250      0        
F2         TopLayer    67.1000      71.7500      0        
D22        BottomLayer 74.7305      83.1500      90       
C154       BottomLayer 158.5084     71.8590      270      
C153       BottomLayer 153.3468     72.5808      90       
C152       BottomLayer 159.8930     71.2470      180      
C150       BottomLayer 158.8770     75.9460      270      
C149       BottomLayer 159.7660     68.1990      0        
C143       TopLayer    151.5311     75.7245      0        
C139       BottomLayer 146.9350     79.5308      270      
C138       TopLayer    151.5311     76.5370      0        
BT1        BottomLayer 165.9540     40.9693      270      
J14        TopLayer    99.4500      78.8000      180      
U27        BottomLayer 48.8965      71.2503      180      
