"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"NetC49_2","TP57-1","160.401mm","50.8mm","Bottom","0.5mm","Through hole"
"NetMH4_1","MH4-1","15.092mm","35.7mm","Bottom","3.2mm","Through hole"
"NetMH1_1","MH1-1","167.773mm","17.2mm","Bottom","3.4mm","Through hole"
"BAT_POS","C2-1","71.55mm","65.2mm","Bottom","0.9mm","Through hole"
"GND","J18-MH2","16.25mm","27.39mm","Bottom","0.6mm","Through hole"
"NetMH2_1","MH2-1","167.442mm","84.2mm","Bottom","3.4mm","Through hole"
"NetMH3_1","MH3-1","23.092mm","80.7mm","Bottom","3.2mm","Through hole"
"COL_28V","TP6-1","161.6mm","18.775mm","Bottom","0.5mm","Through hole"
"DISP_28V","TP7-1","80.1mm","56.625mm","Bottom","0.5mm","Through hole"
"GND","TP12-1","169.825mm","73.675mm","Bottom","0.5mm","Through hole"
"CAM_TRIG","TP51-1","66.294mm","25.775mm","Bottom","0.5mm","Through hole"
"JET_3V3","TP58-1","169.825mm","68.325mm","Bottom","0.5mm","Through hole"
"JET_1V8","TP59-1","156.3mm","66.975mm","Bottom","0.5mm","Through hole"
"SYS_RESET","TP62-1","160.147mm","17.399mm","Bottom","0.5mm","Through hole"
"JET_DBG_TX","TP73-1","170.434mm","27.432mm","Bottom","0.5mm","Through hole"
"JET_DBG_RX","TP74-1","170.434mm","30.607mm","Bottom","0.5mm","Through hole"
"JET_5V0","TP82-1","169.825mm","71mm","Bottom","0.5mm","Through hole"
"3V3","TP83-1","169.825mm","76.35mm","Bottom","0.5mm","Through hole"
"FAN_24V0","TP84-1","169.825mm","79.025mm","Bottom","0.5mm","Through hole"
"LED_5V0","TP86-1","80.675mm","85.45mm","Bottom","0.5mm","Through hole"
"ICD_INT_EM","TP26-1","50.673mm","38.1mm","Bottom","0.5mm","Through hole"
"JTSN_SLEEP_WAKE","TP63-1","158.623mm","51.816mm","Bottom","0mm","Surface mount"
"SWDIO","J7-2","112.82mm","82.6mm","Bottom","0mm","Surface mount"
"3V3","J7-1","112.82mm","81.33mm","Bottom","0mm","Surface mount"
"SWCLK","J7-4","111.55mm","82.6mm","Bottom","0mm","Surface mount"
"NRST","J7-3","111.55mm","81.33mm","Bottom","0mm","Surface mount"
"SWO","J7-6","110.28mm","82.6mm","Bottom","0mm","Surface mount"
"GND","J7-5","110.28mm","81.33mm","Bottom","0mm","Surface mount"
"PWR_BTN","TP1-1","69.873mm","58.1849mm","Bottom","0mm","Surface mount"
"MCU_PWR_OFF","TP14-1","32mm","65.15mm","Bottom","0mm","Surface mount"
"MB_PIN13","TP56-1","95.9mm","78.6mm","Bottom","0mm","Surface mount"
"NetBT1_P","Free-TP","159.385mm","41.021mm","Bottom","0mm","Surface mount"
"NetQ3_3","Free-TP","70.6374mm","66.7512mm","Bottom","0mm","Surface mount"
"MB_GND","Free-37","100.2mm","77.7mm","Bottom","0mm","Surface mount"
"NetR44_2","Free-TP","139.3mm","75.65mm","Bottom","0mm","Surface mount"
"NetC143_1","Free-TP","159.893mm","84.963mm","Bottom","0mm","Surface mount"
"NetC139_2","Free-TP","141.15mm","79.5308mm","Bottom","0mm","Surface mount"
"NetC176_2","Free-TP","149.3945mm","82.8635mm","Bottom","0mm","Surface mount"
"NetC138_2","Free-36","151.2mm","76.327mm","Bottom","0mm","Surface mount"
"NetC143_2","Free-35","151.2mm","75.184mm","Bottom","0mm","Surface mount"
"NetR241_1","Free-33","57.3024mm","35.2298mm","Bottom","0mm","Surface mount"
"NetR183_2","Free-31","155.956mm","72.136mm","Bottom","0mm","Surface mount"
